issuekey,storypoint,description,title,,,,
61d6a56ff4d395ee2227ee3b,43200,"Hi ,\r\nWe are trying to setup sakai on our local machine. using below guidelines.\r\n\r\nhttps://confluence.sakaiproject.org/pages/viewpage.action?pageId=82249543\r\nhttps://confluence.sakaiproject.org/display/BOOT/Development+Environment+Setup+Walkthrough\r\n\r\nSteps we followed- \r\n\r\nSakai source code:\r\n\r\n1. Downloaded sakai-src-2.9.1 and unzip it on D:\sakai\ \r\n\r\nTomcat 7.0.26:\r\n\r\n1. Downloaded apache-tomcat-7.0.26.tar and unzip it on D:\sakai\\r\n\r\n2. Created setenev.bat inside D:\Sakai\tomcat\bin and  set JAVA_OPTS variable.\r\n\r\n3. Edit  D:\Sakai\tomcat\conf\catalina.properties and added\r\n   \r\n   common.loader= ,${catalina.base}/common/classes/,${catalina.base}/common/lib/*.jar\r\n   shared.loader=  ${catalina.base}/shared/classes/,${catalina.base}/shared/lib/*.jar\r\n   server.loader=  ${catalina.base}/server/classes/,${catalina.base}/server/lib/*.jar\r\n   and created these folders inside tomcat.\r\n   \r\n4. create folder as named  'sakai' inside tomcat and created file name as sakai.properties \r\n(Copied from D:\Sakai\sakai-src\config\configuration\bundles\src\bundle\org\sakaiproject\config\bundle\default.sakai.properties) \r\nthen comment #HSQLDB settings and uncomment the #MySQL settings and also set the below property\r\n\r\n username@javax.sql.BaseDataSource=sakai\r\n password@javax.sql.BaseDataSource=ironchef\r\n\r\n\r\nMaven:\r\n\r\n    1.Downloaded apache-maven-2.2.1-bin and unzip it on C:drive\r\n    2.Create an M2_HOME System Variable\r\n    3.Add C:\dev\apache-maven-2.2.1\bin; to System Path\r\n    4.To check maven is working we used commands mvn clean ,Our Maven is installed and working as it creates directory '.m2' inside  C:\Users\miller\.m2 with some folders inside it.\r\n	5.Created settings.xml inside .m2/  as shown below.\r\n\r\n\r\n<settings xmlns=""http://maven.apache.org/POM/4.0.0""\r\nxmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""\r\nxsi:schemaLocation=""http://maven.apache.org/POM/4.0.0\r\nhttp://maven.apache.org/xsd/settings-1.0.0.xsd"">\r\n<profiles>\r\n<profile>\r\n<id>tomcat5x</id>\r\n<activation>\r\n<activeByDefault>true</activeByDefault>\r\n</activation>\r\n<properties>\r\n<appserver.id>tomcat5x</appserver.id>\r\n<appserver.home>D:\Sakai\tomcat</appserver.home>\r\n<maven.tomcat.home>D:\Sakai\tomcat</maven.tomcat.home>\r\n<sakai.appserver.home>D:\Sakai\tomcat</sakai.appserver.home>\r\n<surefire.reportFormat>plain</surefire.reportFormat>\r\n<surefire.useFile>false</surefire.useFile>\r\n</properties>\r\n</profile>\r\n</profiles>\r\n</settings>\r\n\r\n\r\nMySQL 5.5:\r\n\r\n1.created database for sakai as shown below.\r\n\r\ncreate database sakai default character set utf8;\r\ngrant all privileges on sakai.* to 'sakai'@'localhost' identified by 'ironchef';\r\nflush privileges;\r\nquit;\r\n\r\nAfter completeting all these settings done, we executed 'mvn clean install' command on D:\sakai\sakai-src\r\ngetting error as shown in attached file.\r\n\r\nPlease tell us how we can overcome from this issue. And if we are missing any steps let us know.\r\n\r\n\r\nThanks in advance",Unable to run source code,,,,
61d6a56ff4d395ee2227eff7,57600,"instruction upon installation on the server, where i can find the java opts and maven opts?what would be the sequence of installation of sakai?hard to find the procedure or what should be the first step upon installing sakai.",Installation,,,,
61d6a56ff4d395ee2227f150,14400,"First i discovered that messages was not rendered correct when trying to add a gradebook item from Assignment2, got messages like this in the rendered page ""[Message for key gradebook.add-gradebook-item.gradebook_item_legend not found]"", in the popup from gradebook.\r\n\r\nWhen looking more into this I found that gradebook has two applicationContext.xml in WEB-INF, one in app/sakai-tool/src/webapp/WEB-INF and the other in app/ui/src/webapp/WEB-INF. The first one(has no messageSource config) is the one that is used when deployed, the other one is where the messageSource for the popup is configured.\r\n\r\nMy suggestion is to remove the other one since it seems not to be used anywhere and move the messageSource configuration to the first one.\r\n\r\nThe url to the popup can be reached at https://sakai-host/direct/gradebook/_/gradebookItem/<site-id> and i verified that the same issue exists on http://qa1-nl.sakaiproject.org/portal.",Obsolete applicationContext.xml in app/ui/src/webapp/WEB-INF,,,,
61d6a56ff4d395ee2227f51c,43200,"If you try to import a zip package, either common cartridge or anything else with the ""Import from Archive"" feature, it loads the entire contents into memory while processing it. With even a relatively moderately sized archive file (say 100MB) it needs nearly 600MB or heap space to attempt the import. This should be rewritten to process the file from a temporary location on disk (where space is much more plentiful) rather than the heap.",Importing an large archive (in site-manage) consumes large amounts of memory,,,,
61d6a56ff4d395ee2227f5ea,10800,"Announcement Service API needs some documentation for easier development.  One of those minor nagging problems that could cause a whitespace merging headache.  \r\n\r\nDeveloping in 2.9.x , marking as optional for 2.8.x, probably (aka likely) won't ever be merged to 2.7.x",Announcement Service API documentation needed,,,,
61d6a56ff4d395ee2227f77e,14400,"The ckeditor config.extraPlugins doesn´t appear to be loading plugins.  I used the new feature, ""wysiwyg.editor=ckeditor"" to load the ckeditor, but as I try to load the wiris plugin, nothing is loaded.  I´ve inspected the stack at that point and the plugin name is being provided correctly, but does not load the external js n such.\n\nThanks,\nDan\n\n\n/*\nCopyright (c) 2003-2011, CKSource - Frederico Knabben. All rights reserved.\nFor licensing, see LICENSE.html or http://ckeditor.com/license\n*/\n\nCKEDITOR.editorConfig = function( config )\n{\n    // Add WIRIS to the plugin list\n    config.extraPlugins += (config.extraPlugins.length == 0 ? '' : ',') + 'ckeditor_wiris';\n\n    // Add WIRIS buttons to the ""Full toolbar""\n    // Optionally, you can remove the following line and follow\n    // http://docs.cksource.com/CKEditor_3.x/Developers_Guide/Toolbar\n    config.toolbar_Full.push(['ckeditor_wiris_formulaEditor', 'ckeditor_wiris_CAS']);\n};\n",config.extraPlugins seems to have stopped loading,,,,
61d6a56ff4d395ee2227f9fe,900,"Another onchange=""blur()"" was discovered in the chef_assignments_instructor_new_edit_assignment.vm file. Attached diff file is a patch to remove it.\n\nIssue Description: When the blur() function is called on an element, that element gives up focus. blur() was included in the onchange event for select elements to fix a bug that was present in Netscape 6. Unfortunately, blur() presents problems for keyboard only users. When they change the setting on a select element containing onchange=blur(), focus disappears and (in many browsers), the user has to start navigating through the page's controls from the beginning of the tabindex to navigate to the next control. This is very confusing to screen reader users.\n\nSince it causes accessibility problems, and it is believed that blur() is no longer needed as a fix for the Netscape 6 browser bug, it is suggested that blur() be removed. ",Remove blur() from select onchange handlers in assignments tool,,,,
61d6a56ff4d395ee2227fb38,600,"Two testers going through the Resources tool walkthrough script commented on the file property called ""Last"". They assume it means the last modified date, but wondered if it could mean last accessed or something else.\n\nPlease see attached image for exact location of the text in question.\n\nTo reproduce:\n   1. Create a text resource in the resources tool. \n   2. Log in with a user who would be a in a student role for those resources.\n   3. Select view details from the action menu.\n   4. The ""Last"" header appears in the properties table.","Properties Page for a file resource in resources tool includes property simply called ""Last""",,,,
61d6a56ff4d395ee2227fcf6,900,"The ""New Comment"" text is not explicitly labeled as the label for the textarea in the New Comment popup. Adaptive technologies, such as screen-reading software used by the blind, will not be able to announce the function of the textarea or make it easy for them to find.\n\nThere is a great web page on the WebAIM site that discusses how to make accessible forms: \nhttp://webaim.org/techniques/forms/screen_reader\n\nSuggested Fix:\n We suggest surrounding the new_comment text with a label tag that is tied to the textarea in the commentnew.jsp file like so:\n<div class=""rwiki_help_popup"" >\n	    <form action=""?#"" method=""post"" >\n	    <nobr><label for=""content""><c:out value=""${rlb.jsp_new_comment}""/></label></nobr><br/>\n		<textarea cols=""40"" rows=""10"" name=""content"" id=""content"" >&#160;</textarea>","Accessibility: The ""New Comment"" text is not explicitly labeled as the label for the textarea in the New Comment popup",,,,
61d6a56ff4d395ee2227fd3c,900,"The session timeout popup has a button to prevent the session from terminating. The English text currently reads as ""Keep Me Alive"". This is not helpful for a general audience. It should be changed to something like ""Keep My Session Active"".",Session timeout message is not appropriate,,,,
61d6a56ff4d395ee2227fd9c,576000,"""http://confluence.sakaiproject.org/display/BOOT/Development+Environment+Setup+Walkthrough""\nAttachment:Build sakai log,deploy sakai log, tomcat startup.log\nI have been following The URL instructions to build sakai and deploy sakai to tomcat. \nI execute ""mvn -Pcafe clean install"" command to build sakai,and success,then I execute ""mvn -Pcafe sakai:deploy"" command to deploy sakai to tomcat,and success.Then I startup tomcat, but has a error:\n[ERROR] -> -NoisierDefaultListableBeanFactory.java80 -Failed to preinstantiate the singleton named org.sakaiproject.announcement.impl.SiteEmailNotificationAnnc. Destroying all Spring beans.\norg.springframework.beans.factory.BeanCreationException: Error creating bean with name 'org.sakaiproject.announcement.impl.SiteEmailNotificationAnnc' defined in file [C:\tomcat5\components\sakai-announcement-pack\WEB-INF\components.xml]: Cannot resolve reference to bean 'org.sakaiproject.api.app.scheduler.ScheduledInvocationManager' while setting bean property 'scheduledInvocationManager'; nested exception is org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'org.sakaiproject.api.app.scheduler.ScheduledInvocationManager' defined in file [C:\tomcat5\components\scheduler-component\WEB-INF\components.xml]: Cannot resolve reference to bean 'org.sakaiproject.api.app.scheduler.SchedulerManager' while setting bean property 'schedulerManager'; nested exception is org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'org.sakaiproject.api.app.scheduler.SchedulerManager' defined in file [C:\tomcat5\components\scheduler-component\WEB-INF\components.xml]: Invocation of init method failed; nested exception is java.lang.Error: Scheduler cannot start!","sakai2.7.0, build successful,deploy to tomcat successful,but tomcat can not startup!!!",,,,
61d6a56ff4d395ee2227fe33,144000,"I found some mutable servlet field in class org.sakaiproject.announcement.tool.AnnouncementAction as follow\n\npublic class MockCharonPortal extends HttpServlet\n{\n...\n                    private String outputFile;\n...\n	public void setOutputFile(String outputFile)\n	{\n		this.outputFile = outputFile;\n	}\n...\n}\n\nHere outputFile is a field of servlet, and has been changed in the setOutputFile() method\n\nConsequence:\nA web server generally only creates one instance of servlet or jsp class (i.e., treats the class as a Singleton), and will have multiple threads invoke methods on that instance to service multiple simultaneous requests. Thus, having a mutable instance field generally creates race conditions. \n\nAnd I see these kind of bugs are found before in the other component: http://jira.sakaiproject.org/browse/SAK-13679",Mutable servlet field in class MockCharonPortal,,,,
61d6a56ff4d395ee2227fe34,3600,"I found some inporper synchronization in class edu.indiana.lib.osid.component.id.Id\n\npublic class Id implements org.osid.shared.Id\n{\n...\n	private static long	idBase		= System.currentTimeMillis();\n...\n	private synchronized long getIdBase()\n	{\n		return idBase++;\n	}\n...\n}\n\nidBase is a static class field. getIdBase increment (non-atomic) operation is in a non-static synchornized method.\n\nConsequence: \nDifferent object instances will synchronize on different ""this"", idBase increment is not protected by a uniform lock. It results in race condition in getIdBaseincrement, thus having incorrect getIdBase value.\n\nit would be more safer to write this instead:\n\nprivate static synchronized long getIdBase()\n	{\n		return idBase++;\n	}\n",Use instance lock to protect static share data in class Id,,,,
61d6a56ff4d395ee2227fe77,900,"For each file under in the ""Select a resource"" object list there is a link in the Actions column that says ""Attach a copy"" and does not include the filename. Also, once a file is attached a similar non-unique link that says ""Remove"" in the ""Remove?"" column.\n\nAdaptive technologies used to access web pages have finder tools that allow users to quickly navigate a page. One such tool pulls together all of the links into a list for the user to choose from. If there are multiple links that simply say ""Attach a copy"", it isn't clear to the screen reader user what the function of that link is (Attach a copy of what in particular?). The W3C Guideline that is relevant to this is WCAG 2.0 Success Criteria 2.4.4 Level A - The purpose of each link can be determined from the link text alone or from the link text together with its programmatically determined link context.\n\nThe attached patch adds the appropriate file name to the Remove and Attach a copy links and hides the filename text so the original visual appearance is maintained.","Accessibility: Filepicker used in Syllabus' Add Attachment Page Can Have Multiple Non-Unique Link Texts: ""Remove"" and ""Attach a copy""",,,,
61d6a56ff4d395ee2227fe7f,900,"Labels for the Checkboxes for selecting items in the resources listing are not unique (they are all labeled ""Select""). The attached patch switches from using the label elements to using the title attribute on the input element itself.\n\nAdaptive Technology users have tools which allow them to navigate from form control to form control, so form controls should be labeled as uniquely as possible and describe their function. The attached patch adds a title to the checkbox which serves as a label. The title will read (for lang=en): Select: {item name}\n\n",Accessibility: Labels on checkboxes for selecting items in the resource listing not unique,,,,
61d6a56ff4d395ee2227fe80,900,"Section 508 stipulates that a site must be readable with stylesheets/CSS disabled. \nSection 508 of the Rehabilitation Act, §1194.22: (d) Documents shall be organized so they are readable without requiring an associated style sheet.\n\nWith the stylesheets disabled, the portlet main iFrame that contains the tool body has a height of 50px which is too small to be useful. The CSS supplied with the Sakai demo sets the iframe height to 475px so this seems like a more reasonable value for the iFrame height attribute.",Accessibility: Default Portlet Main iFrame Height Is Too Small (50 px) when CSS is Disabled,,,,
61d6a56ff4d395ee2227fef1,14400,"If conditions are applied to a resource and email notification is specified, the email will either be sent too soon or not at all.",Conditions and Email Notifications Don't Work Together,,,,
61d6a56ff4d395ee2227fef2,7200,"The messages that Conditional Release surfaces in the Resources tool should be read from bundle files, so they can be localized.\n\nAt present, the text strings are hard-coded in English.",All Strings should be externalized,,,,
61d6a56ff4d395ee22280012,144000,"Hi Chris,\n\nI tried importing some of our report definitions on QA3-US and trunk and got the following error:\n\nInvalid Report Definition XML File Error creating bean with name 'statusSummaryDirectDB' defined in resource loaded from byte array: Cannot resolve reference to bean 'org.sakaiproject.reports.service.ResultProcessor.defaultSiteUserLoader' while setting bean property 'resultProcessors' with key [0]; nested exception is org.springframework.beans.factory.NoSuchBeanDefinitionException: No bean named 'org.sakaiproject.reports.service.ResultProcessor.defaultSiteUserLoader' is defined\n\nLast time I asked whether you had merged our changes to the Reports tool to 2.7 or trunk, you said you thought you had.  I have no way of knowing except that the reports don't seem to work, so I'm thinking maybe it didn't happen.  Can you please investigate?  I'd like to give our reports back to the community but no one will be able to use them if we don;t get our changes in.\n\n",Merge IU Reports Code to Trunk,,,,
61d6a56ff4d395ee22280031,1800,"When tabbing through a Sakai page, visible focus is lost when focus is on either the tool's Reset icon or the tool's Help icon. This is disorienting and frustrating to keyboard users and prevents them from easily activating the tool's reset function and accessing the tool specific help.\n\nCause: the CSS ruleset attached to selector "".portletTitle .title a"" contains rule ""outline:none"" which is disabling the visible focus indication when focus is on the Reset and Help icons in the Tool title bar.\n\nWe suggest updating "".../library/skin/default/portal.css"" with the following (adding the focus pseudo class the rule sets with the hover pseudo class to get icon changes with keyboard focus and adding specific focus pseudo class rule sets to get dotted outline only on keyboard focus):\n\n.portletTitle .title a:hover, .portletTitle .title a:focus{\n	background: url(images/reload_h.gif) center left no-repeat; \n} \n\n.portletTitle .title a:focus{\n	outline:black dotted thin;\n}\n\n.portletTitle .action a:hover,.portletTitle .action a:focus{\n	background: url(images/help_h.gif) center right no-repeat; \n} \n\n.portletTitle .action a:focus{\n	outline:black dotted thin;\n}\n",Accessibility: Loss of Visible Focus on Tool's Reset and Help Icons,,,,
61d6a56ff4d395ee222801bc,1800,"The internal anchor (tocontent) that is the target for the ""jump to content"" skip link is coded incorrectly with an ""href"" attribute which causes it to show up as an empty/unlabeled link to adaptive technologies. The recommended solution is to remove the href attribute and make the anchor like the other anchor links on the page. Also, the anchor appears after the heading that announces the section. This is inconsistent with how the other targets are related to their section headings (anchor element before heading element). \n\nProblem code:\n    <h1 class=""skip"">Content begins here</h1>\n    <a id=""tocontent"" class=""skip"" name=""tocontent"" href=""#""></a>\n    <!-- end includePageNav -->\n    <!-- end page nav -->\n    <!-- END from includePageNav.vm -->\n\nExamples from the other skip links:\n    <a id=""sitetabs"" class=""skip"" name=""sitetabs""></a>\n    <h1 class=""skip"">Worksites begin here</h1>\n...\n    <a id=""totoolmenu"" class=""skip"" name=""totoolmenu""></a>\n    <h1 class=""skip"">Tools begin here</h1>\n\nAn alternate solution would be to remove the internal named anchor targets completely, and simply put their id's in the section headings like follows:\n    <h1 id=""sitetabs"" class=""skip"">Worksites begin here</h1>\n...\n    <h1 id=""totoolmenu"" class=""skip"">Tools begin here</h1>\n...\n    <h1 id=""tocontent"" class=""skip"">Content begins here</h1>\nI believe id tags on heading elements can be used as internal links in all major browsers.\n","The internal anchor (tocontent) that is the target for the ""jump to content"" skip link is coded incorrectly and shows up as an empty/unlabeled link to adaptive technologies.",,,,
61d6a56ff4d395ee2228020a,3600,"Upon adding a new condition, I get this:\n\njava.lang.NullPointerException\n	at org.sakaiproject.conditions.impl.ResourceReleaseRule.isObsolete(ResourceReleaseRule.java:320)\n",Conditional Release throws NPE on creating new condition.,,,,
61d6a56ff4d395ee2228020b,1200,"Getting this error in the UI: [missing key: types no.gradebook.assignments] \n\nIt should read something like, ""Add at least one item to the gradebook to access conditions.""",Conditional Release missing key if no gradebook assignment exists,,,,
61d6a56ff4d395ee22280429,288000,"Better display formatting is needed for the descriptive text of a podcast feed and item. This field is unlimited and if a lot of text is entered, a horizontal scroll is created. It's hard to read.",Design for Home / Need better formatting of description text,,,,
61d6a56ff4d395ee2228042b,432000,"With this problem as an opportunity to think more broadly about displaying Course Grades in the instructor and student views of the GB, the functional QA team also suggests revising the course grade display of the % and points gradebooks as described below.\n\nALL GRADES SCREEN: COURSE GRADE COLUMN\n\n1. In all gradebook types, if course grade data is not available for a student, display a dash instead of the grade.\n\n2. In calculated gradebooks (% and points), the Course Grade should display as the calculated letter grade and the calculated % value in the format. If the instructor overrides the calculated course grade with a different grade, the override grade (including valid IU-specific grades [S, I, R FN, FNN, FM, IM, NC] should be displayed instead of the calculated letter grade along with the student's actual calculated percentage value. As currently written, when a calculated grade is overridden, the All Grades column shows the % value that maps to the override grade instead of the actual calculated percentage value.\n \nExamples Explanation\nB (86.7%) % is Calculated grade\nA- (89.2%) Grade override (cutoff in grade course grade scale for A- is 90%. Note student's calculated % display)\nS (76%) Grade override\n- No calculated or override grade data available\nFN (30%) Grade override\n \nSTUDENT VIEW: COURSE GRADE\nThe Course Grade value(s) shown to the student should be identical to that shown in the Course Grade column (that is, letter grade followed by calculated % value for calculated gradebooks and letter grades only for non-calculating gradebooks).",Design for Course Grade / Display students actual calculated percentage alongside a grade override,,,,
61d6a56ff4d395ee2228042c,144000,"1) The Text on the Course Grades page for the points gb (also percentage), gives the impression that the calculated grade might be wrong.\nConsider the following:\n\n""This page displays the cumulative course grade for each student. Ungraded items are not included in the cumulative calculation. By default, the Gradebook does not recognize items that have no score. To include a gradebook item in the cumulative calculation, enter a score of zero or higher. To override the calculated course grade, enter a grade in the Grade Override column and click Save Changes. Use the Calculate Course Grades button to automatically enter a score of zero for all ungraded items. This action is irreversible.""\n\n2) Consider changing the text on the Calculate Course Grades button to: Calculate Final Grades. The current wording gives the impression that the gradebook does not by default 'calculate the course grade'\nOn click, the user should get a warning page that says; ""This action will enter a grade of zero for all ungraded items in your gradebook. This could result in a drastic change from the the cumulative course grade for each student. Are you sure you want to continue?""",Design for Change Text on Course Grades Page,,,,
61d6a56ff4d395ee2228042d,432000,"See attached screen shot. This is true for both the student's view and for the instructor when they click ""[Student Name]'s View of Grades"". The student really needs to know if items in the same category have different relative weights. This tells them that one item is higher stakes than another. Also, they won't be able to make sense of their course grade or category grades if they can't see the relative item weights. They'll simply think the system is miscalculating their grade.",Design for SV: Show Relative Item Weights,,,,
61d6a56ff4d395ee2228042e,432000,To remove a gradebook item you need to go into the item (by clicking on its title). The remove functionality is not available under the 'edit' link where the majority of users expect it to be (this would also be consistent with the mojority of Sakai tools). As a result there is a high incidence of support calls relating to removing redundant gradebook items (hence the critical status).,Design for Inconsistent location for remove Gradebook items,,,,
61d6a56ff4d395ee2228048a,7200,All the links in the breadcrumb are styled the same.  It would be nice to style the last site in the breadcrumb (i.e. the current site) differently to highly the fact that they are *in* this site.\n\n,Provide the ability to style the last site in the breadcrumb list differently from the others,,,,
61d6a682f4d395ee2228051e,57600,"On our instance of Sakai, we were noticing very slow load times for the main forums page.  For a class which had about 4,400 messages, it was taking an average of 27 seconds for the page to load.  Admittedly I think we have speed issues which go way beyond the main forums page, but we still set out to see if we could improve that performance at all.  The result of that work was the patch which I am submitting here for review.  We were able to reduce load time to an average of 5 seconds.  We are currently running this in production with no known outstanding bugs, but please take a look and let me know what you think.\n\nThe patch did a couple things to try to improve speed, but the biggest gain came when I split the one query that used to grab all of the forums, messages, and topics in one query into three separate queries: one to get the data on the topics and forums, one to get the message count for each topic, and one to get the total read message count for each topic for each user.  I think this helped because with one query, we were getting a copy of each forum and each topic for each message.  So in the site with 4000+ messages, the query would return 4,000+ copies of the forums data and 4,000+ copies of the topics' data.\n\nThe other thing I did was to modify Hibernate to use the sort attribute instead of the order-by attribute.  This shaved a couple seconds off of the query speed that was originally running as it was unnecessary to sort all 4000 rows being returned with one order-by clause.  However, in order to fully accommodate this change, I had to modify the API slightly:\norg/sakaiproject/api/app/messageforums/BaseForum.java\n public void setTopicsSet(Set topicsSet) -> public void setTopicsSet(SortedSet topicsSet)\n\nI hope this helps, and please let me know if you see anything I missed or could improve on further.  Thanks.",the main forums page loads slowly,,,,
61d6a682f4d395ee22280637,300,Update kernel binding to 1.0.9,Update <sakai.kernel.version> to 1.0.9,,,,
61d6a682f4d395ee22280671,900,This was added awhile ago and was a mistake. It should really be removed now before people get confused and try to use it.\nhttps://source.sakaiproject.org/svn/sakai-rsf/\nThis should maybe go out to the list though for clarity.\nI can remove it but it should really be done by an svn-admin.,sakai-rsf project in sakai trunk should not exist and is out of date anyway,,,,
61d6a682f4d395ee22280688,3600,Add an event when someone access to the Syllabus Main Page.\n\n(Corrected the patch for sakai 2.6.x ) -> Correct file: correct_patch_2_6_x.diff,Add an event when access to the Syllabus Main Page,,,,
61d6a682f4d395ee222806ea,36000,"I plan to add a couple of extra options to the web content tool so that it can communicate with a Simple LTI endpoint. \n\nSee http://simplelti.appspot.com/index.htm for a description of Simple LTI. The idea is that rather than simply display the external site in the iframe, that with the LTI options Sakai will also pass along identifying credentials for the current user as well as information about the context in which they are requesting the external site.",Add Simple LTI capability to the Sakai Web tool,,,,
61d6a682f4d395ee222806f1,86400,was project does not need it's own version number. there is no plan or need to perform was project releases separate from the rest of Sakai,Change Websphere project version to use default sakai version,,,,
61d6a682f4d395ee22280703,144000,"\n[4/27/09 15:36:45:501 EDT] 00000015 ETSUserNotifi I org.apache.commons.logging.impl.Jdk14Logger info init() \n[4/27/09 15:36:45:634 EDT] 00000015 EmailTemplate W org.apache.commons.logging.impl.Jdk14Logger warn no template found for: sitemange.notifyAddedParticipant \nin locale en \n[4/27/09 15:36:45:738 EDT] 00000015 ETSUserNotifi I org.apache.commons.logging.impl.Jdk14Logger info subject: ${localSakaiName} Site Notification \n[4/27/09 15:36:45:848 EDT] 00000015 JDBCException W org.apache.commons.logging.impl.Jdk14Logger warn SQL Error: -302, SQLState: 22001 \n[4/27/09 15:36:45:945 EDT] 00000015 JDBCException E org.apache.commons.logging.impl.Jdk14Logger error DB2 SQL error: SQLCODE: -302, SQLSTATE: 22001, SQLERRMC \n: null \n[4/27/09 15:36:46:010 EDT] 00000015 NoisierDefaul E org.apache.commons.logging.impl.Jdk14Logger error Failed to preinstantiate the singleton named org.sakaip \nroject.sitemanage.api.UserNotificationProvider. Destroying all Spring beans. \n                                org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'org.sakaiproject.sitemanage.api.User \nNotificationProvider' defined in file [/opt/WASshared/components/sakai-site-manage-pack/WEB-INF/components.xml]: Invocation of init method failed; nested exc \neption is org.springframework.dao.InvalidDataAccessResourceUsageException: could not insert: [org.sakaiproject.emailtemplateservice.model.EmailTemplate]; nes \nted exception is org.hibernate.exception.DataException: could not insert: [org.sakaiproject.emailtemplateservice.model.EmailTemplate] \nCaused by: org.springframework.dao.InvalidDataAccessResourceUsageException: could not insert: [org.sakaiproject.emailtemplateservice.model.EmailTemplate]; ne \nsted exception is org.hibernate.exception.DataException: could not insert: [org.sakaiproject.emailtemplateservice.model.EmailTemplate] \nCaused by: org.hibernate.exception.DataException: could not insert: [org.sakaiproject.emailtemplateservice.model.EmailTemplate] \n       at org.hibernate.exception.SQLStateConverter.convert(SQLStateConverter.java:77) \n       at org.hibernate.exception.JDBCExceptionHelper.convert(JDBCExceptionHelper.java:43) \n       at org.hibernate.id.insert.AbstractReturningDelegate.performInsert(AbstractReturningDelegate.java:40) \n       at org.hibernate.persister.entity.AbstractEntityPersister.insert(AbstractEntityPersister.java:2158) \n       at org.hibernate.persister.entity.AbstractEntityPersister.insert(AbstractEntityPersister.java:2638) \n       at org.hibernate.action.EntityIdentityInsertAction.execute(EntityIdentityInsertAction.java:48) \n       at org.hibernate.engine.ActionQueue.execute(ActionQueue.java:250) \n       at org.hibernate.event.def.AbstractSaveEventListener.performSaveOrReplicate(AbstractSaveEventListener.java:298) \n       at org.hibernate.event.def.AbstractSaveEventListener.performSave(AbstractSaveEventListener.java:181) \n",DB2 insert error on EmailTemplate due to field size mismatch,,,,
61d6a682f4d395ee22280704,144000,There is no sakai_event_delay.sql for db2.  This is where the SAKAI_EVENT_DELAY table gets created.,SAKAI_EVENT_DELAY table is missing for DB2,,,,
61d6a682f4d395ee22280747,28800,There was a problem in building RC01 for Websphere.  The was/pom.xml had <was.sakai.version>2.6.0RC1-sakai-SNAPSHOT</was.sakai.version> \nneeds to be changed to <was.sakai.version>2.6.0</was.sakai.version>. ,The was/pom.xml had the wrong <was.sakai.version>,,,,
61d6a682f4d395ee22280830,28800,Need to add db-version mapping for SQL09010 ,appropriate db2 version mapping needed,,,,
61d6a682f4d395ee22280846,86400,"The WAS EAR pom.xml file specifies the sakai version of the tools that should be bundled into the EAR. Currently it is ""2.6.0RC1-SNAPSHOT"", which matches the master pom.xml file. If the sakai version is changed in the master pom.xml, the WAS EAR pom.xml will be out of sync unless changed as well.",The Websphere EAR pom.xml should use sakai.version from master pom.xml,,,,
61d6a682f4d395ee222808b6,144000,After creating a Question Pool and clicking on the link this causes the following exception:\n[2/12/09 8:24:08:382 EST] 00000047 ServletWrappe E   SRVE0068E: Uncaught exception thrown in one of the service methods of the servlet: /jsf/questionpool/edi \ntPool.jsp. Exception thrown : javax.servlet.ServletException: java.lang.String incompatible with java.lang.Boolean \n       at org.apache.jasper.runtime.PageContextImpl.handlePageException(PageContextImpl.java:658) \n       at com.ibm._jsp._editPool._jspService(_editPool.java:274) \n       at com.ibm.ws.jsp.runtime.HttpJspBase.service(HttpJspBase.java:87) \n       at javax.servlet.http.HttpServlet.service(HttpServlet.java:856) \n       at com.ibm.ws.webcontainer.servlet.ServletWrapper.service(ServletWrapper.java:1075) \n       at com.ibm.ws.webcontainer.servlet.ServletWrapper.service(ServletWrapper.java:1016) \n       at com.ibm.ws.webcontainer.filter.WebAppFilterChain.doFilter(WebAppFilterChain.java:145) \n       at org.sakaiproject.util.RequestFilter.doFilter(RequestFilter.java:556) \n\nThe problem is unique to WAS/MySQL and does not occur on WAS/DB2 or Tomcat/MySQL ,Question Pool clicking on created name link causes exception on WAS/MySQL Sakai 2.6 Beta01 ,,,,
61d6a682f4d395ee222808b8,10800,Mark a graded forum posting as read.   ,Mark a graded forum posting as read ,,,,
